dimensions,rock_chance,grass_grow_back,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,NA_fraction_mice,NA_fraction_owls
20,0,5,True,True,280,4,3,0,10,11,10,0,20,True,100,69.0,77.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,12,6,0,20,True,100,82.0,80.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,12,7,0,20,True,100,68.0,84.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,13,5,0,20,True,100,69.0,82.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,13,7,0,20,True,100,68.5,76.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,3,0,20,True,100,82.5,74.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,4,0,20,True,100,81.5,83.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,5,0,20,True,100,80.0,84.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,7,0,20,True,100,67.5,78.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,8,0,20,True,100,63.5,68.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,9,0,20,True,100,79.0,72.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,14,10,0,20,True,100,73.5,63.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,3,0,20,True,100,74.0,79.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,4,0,20,True,100,69.5,63.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,5,0,20,True,100,81.5,75.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,6,0,20,True,100,77.5,75.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,7,0,20,True,100,62.5,79.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,8,0,20,True,100,72.0,56.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,9,0,20,True,100,61.5,67.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,3,0,10,15,10,0,20,True,100,75.0,79.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,10,5,0,20,True,100,65.8,91.67,5,3,5,0.0,0.4
20,0,5,True,True,280,4,4,0,10,10,10,0,20,True,100,69.0,85.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,11,5,0,20,True,100,67.0,92.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,13,10,0,20,True,100,67.5,79.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,14,6,0,20,True,100,83.5,75.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,14,8,0,20,True,100,75.5,66.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,14,9,0,20,True,100,56.5,84.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,14,10,0,20,True,100,82.0,92.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,15,4,0,20,True,100,70.0,57.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,15,5,0,20,True,100,65.0,76.5,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,15,7,0,20,True,100,69.0,83.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,15,8,0,20,True,100,76.0,65.0,2,2,2,0.0,0.0
20,0,5,True,True,280,4,4,0,10,15,9,0,20,True,100,63.0,67.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,4,0,10,15,10,0,20,True,100,75.0,75.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,10,5,0,20,True,100,72.0,93.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,10,8,0,20,True,100,76.0,85.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,11,3,0,20,True,100,57.0,77.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,11,6,0,20,True,100,71.0,71.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,12,4,0,20,True,100,65.0,83.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,12,5,0,20,True,100,72.0,81.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,12,6,0,20,True,100,71.0,90.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,12,8,0,20,True,100,76.0,60.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,13,4,0,20,True,100,59.0,64.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,13,7,0,20,True,100,77.0,86.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,13,8,0,20,True,100,76.0,50.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,14,3,0,20,True,100,78.0,87.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,14,4,0,20,True,100,76.0,82.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,14,5,0,20,True,100,86.0,83.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,14,6,0,20,True,100,66.0,94.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,14,7,0,20,True,100,64.0,86.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,15,3,0,20,True,100,58.0,99.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,15,4,0,20,True,100,77.0,59.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,15,7,0,20,True,100,82.0,73.0,1,1,1,0.0,0.0
20,0,5,True,True,280,4,5,0,10,15,10,0,20,True,100,68.0,58.0,1,1,1,0.0,0.0
