dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
10,0,5,True,True,True,50,5,4,0,10,5,3,0,3,True,500,1,91.0,53.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,4,0,10,5,3,0,6,True,500,1,82.0,77.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,4,0,10,6,3,0,10,True,1000,1,148.0,50.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,4,0,10,6,4,0,10,True,1000,1,112.0,69.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,5,0,10,4,2,0,10,True,1000,1,155.0,95.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,5,0,10,7,4,0,10,True,1000,1,129.0,73.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,5,0,10,8,5,0,10,True,1000,1,92.0,69.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,4,2,0,10,True,1000,1,76.0,61.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,4,3,0,10,True,1000,1,314.0,90.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,4,4,0,10,True,1000,1,134.0,21.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,1,True,500,1,70.0,64.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,2,True,500,1,85.0,50.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,3,True,500,1,100.0,69.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,4,True,500,1,73.0,62.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,6,True,500,1,125.0,79.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,8,True,500,1,160.0,61.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,9,True,500,1,128.0,45.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,5,3,0,10,True,1000,1,219.0,63.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,6,4,0,10,True,1000,1,438.0,52.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,6,5,0,10,True,1000,1,318.0,55.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,7,2,0,10,True,1000,1,162.0,93.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,7,5,0,10,True,1000,1,100.0,90.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,2,0,10,10,4,0,10,True,1000,1,161.0,62.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,4,3,0,10,True,1000,1,145.0,63.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,4,4,0,10,True,1000,1,120.0,40.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,1,True,500,1,70.0,51.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,2,True,500,1,91.0,94.0,1,1,1,1.0,1.0,1.0
