dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,m_alive,o_alive,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls
10,0,2,False,True,True,50,3,2,0,10,6,5,0,10,True,500,98,1,1.0,55.0,75.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,5,0,10,True,500,99,1,1.0,56.0,98.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,5,0,10,True,1000,94,4,1.0,72.0,86.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,5,0,10,True,1000,99,1,1.0,63.0,63.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,7,2,0,10,True,500,96,2,1.0,65.0,86.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,7,2,0,10,True,500,100,0,1.0,83.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,2,0,10,True,1000,99,1,1.0,62.0,92.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,7,2,0,10,True,1000,100,0,1.0,64.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,3,0,10,True,500,1,0,1.0,72.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,3,0,10,True,500,100,0,1.0,54.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,3,0,10,True,1000,2,0,1.0,28.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,3,0,10,True,1000,100,0,1.0,85.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,4,0,10,True,500,4,0,1.0,49.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,4,0,10,True,500,100,0,1.0,63.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,4,0,10,True,1000,99,1,1.0,70.5,96.5,2,2,2,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,7,5,0,10,True,500,94,3,1.0,81.0,35.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,7,5,0,10,True,500,100,0,1.0,60.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,7,5,0,10,True,1000,98,1,1.0,66.0,100.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,7,5,0,10,True,1000,100,0,1.0,50.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,8,2,0,10,True,500,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,8,2,0,10,True,500,100,0,1.0,40.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,8,2,0,10,True,1000,72,9,1.0,50.0,41.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,2,0,10,True,1000,98,1,1.0,50.0,96.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,3,0,10,True,500,96,3,1.0,64.0,68.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,3,0,10,True,500,97,2,1.0,42.0,81.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,3,0,10,True,1000,1,0,1.0,42.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,8,4,0,10,True,500,97,3,1.0,65.0,83.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,4,0,10,True,500,98,2,1.0,94.0,52.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,4,0,10,True,1000,2,0,1.0,42.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,8,4,0,10,True,1000,97,2,1.0,75.0,71.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,5,0,10,True,500,99,1,1.0,46.0,75.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,8,5,0,10,True,500,100,0,1.0,63.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,8,5,0,10,True,1000,100,0,1.0,38.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,2,0,10,True,500,100,0,1.0,45.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,2,0,10,True,1000,0,0,1.0,,,0,0,2,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,3,0,10,True,500,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,3,0,10,True,500,1,0,1.0,66.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,3,0,10,True,1000,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,3,0,10,True,1000,4,0,1.0,68.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,4,0,10,True,500,1,0,1.0,30.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,4,0,10,True,500,97,2,1.0,50.0,79.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,9,4,0,10,True,1000,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,4,0,10,True,1000,81,5,1.0,38.0,76.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,9,5,0,10,True,500,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,5,0,10,True,500,100,0,1.0,26.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,5,0,10,True,1000,1,0,1.0,67.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,9,5,0,10,True,1000,2,0,1.0,74.0,,1,0,1,1.0,0.0
