,dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
666,10,0,5,True,True,True,50,7,2,0,10,5,3,0,3,True,500,1,100.0,69.0,1,1,1,1.0,1.0,1.0
665,10,0,5,True,True,True,50,7,2,0,10,5,3,0,2,True,500,1,85.0,50.0,1,1,1,1.0,1.0,1.0
664,10,0,5,True,True,True,50,7,2,0,10,5,3,0,1,True,500,1,70.0,64.0,1,1,1,1.0,1.0,1.0
661,10,0,5,True,True,True,50,7,2,0,10,4,4,0,10,True,1000,1,134.0,21.0,1,1,1,1.0,1.0,1.0
660,10,0,5,True,True,True,50,7,2,0,10,4,3,0,10,True,1000,1,314.0,90.0,1,1,1,1.0,1.0,1.0
659,10,0,5,True,True,True,50,7,2,0,10,4,2,0,10,True,1000,1,76.0,61.0,1,1,1,1.0,1.0,1.0
478,10,0,5,True,True,True,50,5,5,0,10,8,5,0,10,True,1000,1,92.0,69.0,1,1,1,1.0,1.0,1.0
473,10,0,5,True,True,True,50,5,5,0,10,7,4,0,10,True,1000,1,129.0,73.0,1,1,1,1.0,1.0,1.0
449,10,0,5,True,True,True,50,5,5,0,10,4,2,0,10,True,1000,1,155.0,95.0,1,1,1,1.0,1.0,1.0
431,10,0,5,True,True,True,50,5,4,0,10,6,4,0,10,True,1000,1,112.0,69.0,1,1,1,1.0,1.0,1.0
430,10,0,5,True,True,True,50,5,4,0,10,6,3,0,10,True,1000,1,148.0,50.0,1,1,1,1.0,1.0,1.0
421,10,0,5,True,True,True,50,5,4,0,10,5,3,0,6,True,500,1,82.0,77.0,1,1,1,1.0,1.0,1.0
418,10,0,5,True,True,True,50,5,4,0,10,5,3,0,3,True,500,1,91.0,53.0,1,1,1,1.0,1.0,1.0
417,10,0,5,True,True,True,50,5,4,0,10,5,3,0,2,True,500,1,70.0,100.0,1,1,1,1.0,1.0,1.0
415,10,0,5,True,True,True,50,5,4,0,10,5,2,0,10,True,1000,1,131.0,70.0,1,1,1,1.0,1.0,1.0
403,10,0,5,True,True,True,50,5,3,0,10,9,2,0,10,True,1000,1,117.0,42.0,1,1,1,1.0,1.0,1.0
399,10,0,5,True,True,True,50,5,3,0,10,7,4,0,10,True,1000,1,129.0,71.0,1,1,1,1.0,1.0,1.0
1002,10,0,5,True,True,True,50,9,2,0,10,5,3,0,4,True,500,1,103.0,62.0,1,1,1,1.0,1.0,1.0
1004,10,0,5,True,True,True,50,9,2,0,10,5,3,0,6,True,500,1,86.0,42.0,1,1,1,1.0,1.0,1.0
345,10,0,5,True,True,True,50,5,2,0,10,5,3,0,7,True,500,1,167.0,84.0,1,1,1,1.0,1.0,1.0
1080,10,0,5,True,True,True,50,9,4,0,10,5,3,0,5,True,500,1,77.0,58.0,1,1,1,1.0,1.0,1.0
1117,10,0,5,True,True,True,50,9,5,0,10,5,2,0,10,True,1000,1,117.0,96.0,1,1,1,1.0,1.0,1.0
1100,10,0,5,True,True,True,50,9,4,0,10,8,5,0,10,True,1000,1,126.0,97.0,1,1,1,1.0,1.0,1.0
